,posteriors1,posteriors2,id,treatment,prior,recall_num_orange,num_misremember_orange,num_misremember_blue
116,73,0,10433,6,37.0,2.0,0.0,0.0
117,39,27,10410,2,51.0,1.0,1.0,2.0
118,100,3,5227,6,50.0,4.0,2.0,0.0
119,94,5,6450,6,44.0,5.0,1.0,0.0
120,20,30,6584,2,25.0,3.0,0.0,1.0
121,95,4,6682,6,35.0,2.0,1.0,0.0
122,70,0,6576,6,28.0,6.0,2.0,0.0
123,100,0,4699,3,27.0,3.0,0.0,0.0
124,45,90,11078,4,85.0,4.0,1.0,0.0
125,20,78,4004,7,85.0,1.0,1.0,1.0
126,68,100,6458,4,83.0,6.0,1.0,1.0
127,20,0,11054,7,20.0,2.0,0.0,0.0
128,50,100,6808,1,75.0,8.0,0.0,1.0
129,43,27,10530,3,23.0,3.0,0.0,1.0
130,45,0,10191,3,20.0,2.0,1.0,0.0
131,62,90,11111,7,72.0,0.0,0.0,1.0
132,50,50,9541,2,66.0,0.0,1.0,2.0
133,80,61,5302,4,67.0,0.0,0.0,1.0
134,80,0,4407,6,40.0,3.0,2.0,0.0
135,58,80,11236,4,75.0,2.0,1.0,1.0
136,95,5,10407,8,25.0,3.0,1.0,0.0
137,80,90,11149,4,85.0,2.0,1.0,1.0
138,65,40,3436,3,35.0,3.0,0.0,0.0
139,50,73,4472,7,50.0,0.0,0.0,1.0
140,100,0,3499,6,37.0,1.0,1.0,0.0
141,39,58,11158,5,40.0,1.0,1.0,2.0
142,40,10,9727,8,45.0,1.0,1.0,0.0
143,70,70,6607,1,70.0,2.0,1.0,2.0
144,50,50,11192,2,39.0,1.0,1.0,1.0
145,90,0,11209,8,20.0,3.0,2.0,0.0
146,20,10,6366,5,40.0,0.0,1.0,1.0
147,90,25,11507,5,70.0,2.0,2.0,0.0
148,61,5,11228,6,44.0,4.0,0.0,1.0
149,49,7,10088,3,32.0,4.0,1.0,0.0
150,0,20,10145,5,20.0,2.0,2.0,0.0
151,30,5,5229,3,40.0,2.0,0.0,0.0
152,40,70,10053,1,55.0,2.0,0.0,1.0
153,50,100,4448,1,75.0,10.0,0.0,0.0
154,70,48,11084,7,77.0,2.0,0.0,2.0
155,70,100,11191,4,80.0,0.0,1.0,2.0
156,64,0,5020,8,32.0,10.0,0.0,0.0
157,39,83,4943,4,84.0,4.0,1.0,1.0
158,13,13,5586,5,21.0,1.0,1.0,1.0
159,20,70,11109,1,75.0,1.0,0.0,2.0
160,80,95,6364,7,80.0,1.0,0.0,2.0
161,40,0,11101,8,30.0,2.0,1.0,0.0
162,75,25,11030,2,50.0,0.0,1.0,1.0
163,75,90,9506,4,95.0,0.0,2.0,1.0
164,65,35,4071,5,60.0,3.0,2.0,0.0
165,25,0,11313,8,15.0,5.0,1.0,0.0
166,90,0,11249,8,20.0,5.0,0.0,0.0
167,50,100,4487,4,80.0,6.0,0.0,1.0
168,70,0,10614,6,25.0,3.0,1.0,0.0
169,100,0,11494,5,35.0,7.0,0.0,0.0
170,55,100,5401,7,79.0,10.0,0.0,0.0
171,10,10,9676,8,30.0,5.0,0.0,0.0
172,50,50,9533,7,85.0,2.0,1.0,1.0
173,30,0,6024,3,30.0,3.0,0.0,0.0
174,48,100,6492,1,70.0,3.0,1.0,2.0
175,70,35,11026,2,60.0,2.0,0.0,0.0
176,42,45,9959,5,0.0,3.0,1.0,0.0
177,83,0,11154,6,47.0,4.0,0.0,0.0
178,30,65,6530,1,40.0,2.0,1.0,2.0
179,65,5,6606,3,29.0,3.0,1.0,0.0
180,35,100,10074,1,80.0,1.0,0.0,2.0
181,22,5,11219,3,27.0,5.0,1.0,0.0
182,55,45,11270,7,69.0,2.0,1.0,1.0
183,60,20,10298,6,0.0,4.0,0.0,0.0
184,75,60,11471,5,68.0,3.0,0.0,0.0
185,60,10,11314,3,45.0,7.0,0.0,0.0
186,20,95,9699,1,70.0,2.0,0.0,2.0
187,65,65,9468,1,65.0,0.0,1.0,0.0
188,50,100,10308,1,75.0,10.0,0.0,0.0
189,45,85,11419,7,70.0,1.0,1.0,2.0
